time,prey,predator
9.393939393939394478e+00,1.162519929874106239e+01,1.927834006444448178e+01
9.545454545454544970e+00,8.089090425086709502e+00,1.807303911295404220e+01
9.696969696969697239e+00,8.299798639370031594e+00,1.272755148943730497e+01
9.848484848484849508e+00,9.371534866427669641e+00,1.294408765650230109e+01
1.000000000000000000e+01,7.458420431427365216e+00,1.118564269777987263e+01
1.015151515151515227e+01,8.157951846186602296e+00,6.401646959711092322e+00
1.030303030303030276e+01,8.146269929744784477e+00,1.022541973018260997e+01
1.045454545454545503e+01,6.404770286476408003e+00,6.892270676736207413e+00
1.060606060606060552e+01,7.810913380381688143e+00,9.462927558421423413e+00
1.075757575757575779e+01,1.092415435898628218e+01,6.192421626761122511e+00
1.090909090909091006e+01,8.655603325003882631e+00,7.492543665757896321e+00
1.106060606060606055e+01,1.071693832331857799e+01,2.981051871229517758e+00
1.121212121212121282e+01,1.344666819678087322e+01,1.421863992185429026e+00
1.136363636363636331e+01,1.263346249633635843e+01,1.574592529131273899e+00
1.151515151515151558e+01,1.020356204692945923e+01,2.047868988379744515e+00
1.166666666666666785e+01,1.657548308634973111e+01,3.406721253704692032e+00
1.181818181818181834e+01,1.585248343356996870e+01,3.383665933605795040e+00
1.196969696969697061e+01,2.180717031880596224e+01,3.863294007095523064e+00
1.212121212121212110e+01,1.950634642192967760e+01,7.509368415489013238e+00
1.227272727272727337e+01,2.560709610491510801e+01,5.096553008587292766e+00
1.242424242424242387e+01,2.600035518413312019e+01,4.517687423791033829e+00
1.257575757575757613e+01,2.655322892782980659e+01,7.095141222668116754e+00
1.272727272727272840e+01,3.118289459989025048e+01,3.164088017802182407e+00
1.287878787878787890e+01,3.200296219264075859e+01,6.205558372641038822e+00
1.303030303030303116e+01,3.790163735775502829e+01,3.495422127051987182e+00
1.318181818181818166e+01,3.761021545768184637e+01,8.068908865836043276e+00
1.333333333333333393e+01,3.931685214190256517e+01,6.131992775156088982e+00
1.348484848484848442e+01,3.850182591468476545e+01,1.277845375313989962e+01
1.363636363636363669e+01,4.045128161282127621e+01,1.575502113622380307e+01
1.378787878787878896e+01,3.501734566912613644e+01,1.772458926168517124e+01
1.393939393939393945e+01,3.069565037471540947e+01,1.943649895685088325e+01
1.409090909090909172e+01,2.643368336104640548e+01,2.084350528010558534e+01
1.424242424242424221e+01,2.397541421568901754e+01,2.582759828200894958e+01
1.439393939393939448e+01,1.905720983610665797e+01,2.337737577219999352e+01
1.454545454545454675e+01,1.641179382094447448e+01,2.207778586427317791e+01
1.469696969696969724e+01,1.365183716362489363e+01,1.842369858974773678e+01
1.484848484848484951e+01,1.004084306991095055e+01,1.876850519494860947e+01
1.500000000000000000e+01,8.554808625596077576e+00,1.356538871383396305e+01
